downtime_id;production_order_id;tube_line_id;shift;start_date;end_date;duration_min;machine;category;description
0;20042506;0;Frühschicht;03.01.2023 09:18;03.01.2023 09:28;10;HM;Hopper / Verschlusszufuhr;
1;20042506;0;Frühschicht;03.01.2023 09:47;03.01.2023 09:56;9;NH;Hopper / Rumpfzufuhr;
2;20042506;0;Frühschicht;03.01.2023 10:11;03.01.2023 10:17;6;HM;Hopper / Verschlusszufuhr;
3;20042507;0;Spätschicht;03.01.2023 16:32;03.01.2023 17:09;37;TL;Rüsten / Nachjustieren;Umrichtcode :  0 - 1  plus acht neue Gummitücher montieren
4;20042507;0;Spätschicht;03.01.2023 21:55;03.01.2023 22:05;10;PM;Technischer Defekt/Reparatur;Kupplung Schalentransport
5;20042507;0;Nachtschicht;04.01.2023 02:32;04.01.2023 02:41;10;NH;Tuben laden;Fehler - Pneumatikventil Aufschieber nach vorne. ER an Linie
6;20042507;0;Frühschicht;04.01.2023 06:50;04.01.2023 06:58;8;HM;Hopper / Verschlusszufuhr;
7;20042507;0;Frühschicht;04.01.2023 07:57;04.01.2023 10:29;152;TL;Geplante Wartung;3 Woche Servis
8;20042646;0;Spätschicht;04.01.2023 14:56;04.01.2023 21:44;409;TL;Rüsten / Nachjustieren;Umrichtcode :   3 - 3 X L O G V M W / zwei Farben müssen zusätzlich vom letzten Jahr (sind in der Maschine geblieben) auch noch gewaschen werden. ( Probleme mit Rumpfherstellung )
9;20042646;0;Spätschicht;04.01.2023 21:45;04.01.2023 22:00;15;TL;Rüsten / Nachjustieren;Verschlussaufschraubmaschine
10;20042646;0;Nachtschicht;04.01.2023 22:03;04.01.2023 22:25;22;HM;Hopper / Verschlusszufuhr;HM Optimieren ER an Linie
11;20042646;0;Nachtschicht;04.01.2023 22:33;04.01.2023 22:43;10;HM;Aufschrauben / Aufprellen;HM Optimieren ER an Linie
12;20042646;0;Nachtschicht;04.01.2023 22:44;04.01.2023 23:06;23;NH;Tuben laden;NH Optimieren 
13;20042646;0;Nachtschicht;04.01.2023 23:09;04.01.2023 23:19;10;NH;Hopper / Rumpfzufuhr;NH Optimieren 
14;20042646;0;Nachtschicht;04.01.2023 23:23;04.01.2023 23:29;6;NH;Spritzen;NH Optimieren 
15;20042646;0;Nachtschicht;04.01.2023 23:37;05.01.2023 00:14;37;NH;Tuben entladen;NH Optimieren 
16;20042647;0;Nachtschicht;05.01.2023 00:19;05.01.2023 00:24;6;NH;Tuben laden;5 - Fach stau
17;20042647;0;Nachtschicht;05.01.2023 01:11;05.01.2023 01:17;6;PM;Deckel-Bilder;Schweisst nicht an richtige Position. Fährt zu tief. ER und SL an Linie
18;20042647;0;Nachtschicht;05.01.2023 02:16;05.01.2023 02:22;6;HM;Aufschrauben / Aufprellen;St. C Prellschlüssel verstopft. 
19;20042647;0;Nachtschicht;05.01.2023 02:29;05.01.2023 02:36;6;HM;Aufschrauben / Aufprellen;St. C Prellschlüssel an Tube fest (am Dorn), wurde gewechselt, da es verletzt wurde. ER an Linie
