material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
212905;13.5;68;0.3;PF0405;K-060A001009;HC0614009R01;226766;VP0682;LA0180;PD044030;100442
224745;13.5;68;0.3;PF0405;K-060A000011;HC0614011R01;226526;VP0682;LA0180;PD045642;100442
224817;13.5;68;0.3;PF0405;K-060A001009;HC0614009R01;226766;VP0702;LA0180;PD053131;100329
225294;16.0;80;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0385;LA0180;PD043313;100346
227973;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD047936;100329
232956;16.0;80;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0385;LA0180;PD048485;100346
233775;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD046695;100329
233776;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD056536;100329
234028;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD043666;100329
234041;40.0;131;0.5;;P-2100Z01100;VS2138030002;608452;VPU048;LA0173;PD058610;100624
234093;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD057154;100329
234094;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD053658;100329
234095;13.5;68;0.3;PF0405;K-060A001009;HC0614009R01;226766;VP0702;LA0170;PD043665;100329
234096;13.5;68;0.3;PF0405;K-060A001009;HC0614009R01;226766;VP0702;LA0180;PD053690;100329
234097;13.5;50;0.3;PF0405;K-060A000011;HC0614011R01;226526;VP0717;LA0180;PD052291;100329
234098;13.5;50;0.3;PF0405;K-060A000011;HC0614011R01;226526;VP0717;LA0180;PD054999;100329
234308;16.0;80;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0385;LA0180;PD047310;100346
234508;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD049083;100329
234578;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD043765;100329
234580;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD043764;100329
234581;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0170;PD049449;100329
234582;13.5;68;0.3;PF0405;K-060A001009;HC0614009R01;226766;VP0702;LA0180;PD047071;100329
234704;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD056905;100329
234705;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD050916;100329
234706;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD047046;100329
234742;13.5;50;0.3;PF0405;K-060A000011;HC0614011R01;226526;VP0717;LA0180;PD048649;100329
234789;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD056957;100329
234830;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD060309;100329
235090;16.0;78;0.3;PF0405;K-060A001009;HC0616009R01;225511;VP0727;LA0180;PD037074;100329
