performance_id;production_order_id;scrap_tube_line;speed_tube_line;speed_ss;speed_nh;speed_off;speed_rhm;speed_pac;scrap_ss;scrap_nh;scrap_off;scrap_rhm
0;20042506;18.74643061;244.7741935;284.3333333;267.2222222;255.7777778;238.3333333;175.1111111;4.993149378;3.929649922;0.002046957;0.803777545
1;20042507;8.971531875;271.1301775;286.5;269.95;269.45;262.3;202.2608696;3.621134855;2.243700735;-0.004185823;0.257174085
2;20042646;62.79207514;270.0087719;272.5454545;210.6;208.0;182.2222222;37.46666667;37.89538098;12.85427273;-0.002345876;6.537918822
3;20042647;22.80820544;213.7569444;286.8;248.8181818;251.6363636;240.9090909;148.9090909;6.899093743;5.163576881;0.0;0.858009941
4;20042645;30.58474653;270.0131579;285.4285714;252.5714286;253.1428571;232.2857143;157.0;5.402322314;5.136025046;0.0;0.883479829
5;20042644;20.47744536;270.0;281.5;249.5;249.5;235.5;139.5;23.68860532;4.339470746;0.0;0.696977786
6;20042729;50.56461248;194.3484848;247.5555556;204.4444444;207.875;180.0;45.45454545;13.50558837;14.17436427;0.002681253;4.226612955
7;20042728;35.97259231;234.2511416;252.4761905;206.952381;206.55;208.7058824;30.87692308;15.57282454;11.42906594;0.008820546;3.064819731
8;20042727;20.88770198;243.78125;282.1666667;243.4;233.9333333;223.0714286;15.88888889;4.45161253;4.425084155;0.002529404;3.425006788
9;20043082;14.51891224;270.4444444;279.5652174;252.7916667;245.2;234.88;118.6666667;4.69382867;3.563238099;0.008496522;0.593368237
10;20043440;31.95058541;241.990566;;;;;;;;;
11;20043439;47.93838397;239.9619048;275.7142857;219.25;229.2777778;211.1666667;88.19230769;17.97712705;8.567663085;0.001963788;2.516502819
13;20043436;19.40403548;243.4251208;275.8235294;244.8;245.85;240.35;134.5;9.702741026;5.461637786;0.011485935;3.103102502
12;20043438;4.838526912;239.9428571;;;;;;;;;
15;20043441;20.84349123;249.0355987;283.7317073;246.75;253.9534884;241.8409091;176.5555556;7.702135983;4.586783128;-0.002359191;1.914175675
16;20043442;44.80804748;256.5;290.3333333;239.5;256.25;235.25;142.0;4.333828628;5.932070747;0.0;0.368388738
14;20043437;16.78894358;272.2463768;;;;;;;;;
17;20043578;17.81860156;263.884743;280.7241379;262.8275862;259.5714286;252.7777778;76.91549296;6.527194226;3.598835156;0.00057942;1.320466018
18;20043636;22.40486712;247.7453601;283.5970149;251.1323529;247.8059701;233.2878788;163.4428571;6.249689919;5.187769383;0.001610008;1.117041386
19;20043793;18.73260059;266.5473756;282.7058824;256.5142857;256.6666667;243.1594203;131.4803922;6.456099553;4.401002428;0.000350433;1.500985125
20;20043883;48.00464336;190.8712121;287.7894737;218.6956522;209.8636364;197.5714286;95.82608696;7.024090759;10.48632395;-0.000656401;7.092019195
21;20043884;17.54307418;242.3311404;291.4545455;242.5384615;243.6153846;225.0769231;139.4285714;9.48654505;5.558062151;0.001496491;6.698164319
22;20044315;21.64972346;236.907197;287.4615385;241.3928571;235.6428571;218.1785714;148.3448276;4.596395155;5.900544765;0.004821418;5.933642313
24;20044312;0.0;10.52380952;285.7142857;252.2758621;239.5517241;233.5555556;172.6;7.727854244;3.787752189;0.001769598;3.838642083
25;20044313;0.0;32.74074074;272.0;189.0;141.0;110.0;45.0;21.80926328;15.56451613;-0.252472123;0.294117647
26;20044314;0.0;0.0;;181.5;159.5;122.0;18.0;100.0;21.60435078;0.0;3.267386091
23;20044023;13.94336073;249.2238806;;;;;;;;;
27;20044632;18.93901736;260.5746032;281.6607143;232.1451613;227.65625;224.559322;29.02020202;10.34191264;5.524593607;0.000540271;1.527237317
28;20044741;0.0;2.833333333;276.0;108.0;145.5;94.5;6.666666667;32.23735713;100.0;0.060459492;47.29441841
30;20044447;0.0;4.911111111;;216.0;187.0;83.0;7.666666667;100.0;27.76623377;0.07256894;41.99152542
31;20044904;21.43239887;254.5990237;281.0487805;253.6976744;246.7380952;229.575;80.14457831;7.784015694;5.161254312;0.007026579;3.084841643
32;20044908;53.73639936;159.034632;287.0714286;223.0;225.0;224.5;126.75;7.601181518;5.936130331;0.001487951;3.730315739
33;20044906;28.55208085;256.4467593;289.0833333;236.7692308;230.6153846;228.1666667;140.8571429;9.470031502;5.338875159;0.000789777;1.650609827
29;20044905;42.07124561;249.3461538;;;;;;;;;
34;20044907;16.68167886;249.1782946;287.5833333;247.04;247.48;231.32;57.88311688;12.95437682;3.854393261;0.003449727;1.820945276
35;20045857;14.20772485;236.0128205;287.1304348;254.9166667;259.2916667;252.4583333;171.3461538;8.383409503;3.132885443;0.005808381;0.602051435
37;20046000;42.89530063;201.2156863;273.8461538;249.5384615;251.12;242.16;170.3571429;3.901352662;3.756808767;0.000338409;0.901756051
40;20046001;15.84760707;270.0;280.76;232.5333333;233.7037037;231.2692308;137.516129;11.74470236;4.499224087;0.002256216;0.409986061
41;20046069;63.5716632;184.8333333;253.5;210.2;171.8;174.5;20.0;23.2485001;16.95461401;0.023927261;9.518163199
43;20046487;53.82051811;298.6888889;269.1818182;222.8;208.8888889;214.5;17.36363636;10.67654104;12.8678907;0.009318362;6.143633731
44;20046074;8.761532473;268.8035417;276.4583333;267.6464646;266.7959184;263.3229167;184.220339;3.138787181;2.08388521;0.002531604;0.793868054
36;20045861;7.948354488;262.9458078;;;;;;;;;
45;20046071;62.11428571;88.4;272.5;205.0;182.0;170.5;32.0;18.93326593;13.80175659;-0.158730159;11.06481481
38;20046003;29.09838774;241.1292135;;;;;;;;;
47;20046488;0.0;46.44202899;240.5833333;197.5454545;190.8888889;165.6666667;34.8125;21.67152941;16.21347519;0.055772448;4.389602219
39;20046002;15.41581481;231.0900901;;;;;;;;;
48;20047392;15.51797272;256.5015152;267.4666667;251.9032258;251.0;251.5517241;179.03125;8.771878618;3.442865577;0.0;1.577319588
49;20047065;21.49260964;250.2439024;282.4285714;258.4285714;252.4285714;250.7142857;169.2857143;5.144538772;4.128480624;0.015714417;2.525799334
52;20047226;0.0;147.6666667;272.25;224.3333333;196.6666667;210.4;1.420289855;20.41252276;8.21656051;-0.012876227;2.700650401
42;20046070;71.80986274;184.8333333;;;;;;;;;
51;20047225;17.86405055;234.8168403;276.9642857;253.5517241;242.6666667;243.7777778;105.1333333;8.991896811;4.380856558;0.002675451;1.492045088
53;20047473;13.75216013;256.1609848;280.0454545;264.0909091;265.5909091;256.9545455;217.1363636;3.688278686;2.918653992;-0.004078428;1.34165238
54;20047472;24.24341354;271.4035088;275.6666667;247.7777778;249.2222222;234.3333333;181.0;7.490426394;5.431618893;-0.011640088;1.917368632
55;20047895;59.62834646;170.9066667;278.0;210.5454545;194.6666667;172.125;4.5;16.20265709;13.23280475;0.002293525;15.02333406
46;20046489;0.0;2.104761905;;;;;;;;;
56;20047891;17.39642043;238.5562771;274.7647059;218.35;221.1666667;204.1176471;94.90909091;8.360080443;8.885648639;0.015450415;4.853694276
58;20048136;12.53333333;218.6666667;274.6666667;249.0;228.6666667;246.3333333;158.6666667;3.638904416;1.929726348;-0.040625635;1.988119356
57;20048188;8.31244585;266.2080745;277.4090909;258.6363636;254.8636364;247.8181818;202.7727273;2.198416461;2.93143199;0.008288139;0.422885665
60;20048263;8.213827679;262.4166667;279.8823529;258.2352941;260.0;251.5294118;222.1764706;2.887016873;2.935986357;-0.003466174;0.291286059
50;20047189;23.05;233.1818182;;;;;;;;;
61;20047892;0.0;4.166666667;;188.5;176.0;198.0;5.0;;25.47252108;0.0;40.42136208
62;20048397;21.31347143;249.7248493;280.0720721;244.8125;248.5636364;237.4636364;119.3396226;10.37915133;4.416053807;8.43575e-05;0.806313231
63;20049028;0.0;245.5555556;273.4;206.5;204.6666667;172.0;24.0;22.76693382;17.57011697;0.02633427;7.64957265
65;20048774;0.0;5.203921569;254.6;178.4285714;154.2857143;121.6666667;18.09090909;24.49537241;28.69129135;0.105290866;6.777673546
66;20048654;69.64446088;239.4166667;281.6666667;204.0;221.0;191.6666667;42.8;11.59746232;12.48221299;0.026097736;10.48162584
70;20048981;12.2151947;258.4615385;282.4615385;257.1538462;258.0769231;249.4615385;204.9230769;3.636121932;3.116647659;-0.006036351;1.377198753
71;20048706;29.48058762;242.1801802;283.2;248.6;248.2;244.4;185.6;7.870725676;5.100577003;0.020158581;1.029333333
72;20048707;21.55197572;248.8981481;284.4;254.0;253.0;248.0;187.0;11.40927641;3.781422918;0.022097569;1.301354183
59;20048264;12.15666895;274.1542289;;;;;;;;;
74;20048710;6.077811359;263.5392157;285.4;254.2;253.6;243.6;186.0;6.962368323;3.85855296;-0.020938023;0.852848157
73;20048705;1.030927835;263.5294118;282.3333333;236.0;253.6666667;253.0;160.0;2.540716612;3.398582518;0.0;0.79250224
75;20049090;34.02181818;252.0;282.4285714;221.7142857;230.5;230.1666667;85.75;6.439207847;10.0919903;0.006663853;2.338210534
77;20049278;13.82569461;257.3617021;282.8333333;265.6666667;263.5;256.0;208.0;3.115993257;2.581844597;0.001239111;1.761421719
76;20049282;25.22929971;255.1296296;267.0;254.2;242.8;233.2;120.3333333;7.800346518;5.101255569;0.002135475;2.406952919
64;20049027;0.0;29.46666667;;;;;;;;;
78;20049303;14.47242732;264.2534722;277.0;249.7333333;251.2142857;252.6923077;171.7333333;4.939629773;3.729775288;0.000623204;0.796705411
79;20049304;6.24995848;265.7645951;277.7894737;269.952381;261.3809524;265.1;227.4761905;1.459432439;1.788956102;0.000341115;0.267907158
80;20049470;13.74947883;268.1592593;272.7857143;260.7857143;252.8571429;248.4615385;177.4285714;2.888630171;3.011060153;0.001272532;2.729557695
67;20048708;46.87012037;248.8888889;;;;;;;;;
81;20049471;8.917709766;262.5320513;273.15;261.25;258.6190476;246.2;67.83606557;2.941714141;2.709017972;0.001532867;1.13791099
68;20048704;22.8959899;248.8888889;;;;;;;;;
82;20049562;17.60282043;256.6081871;280.7647059;235.1666667;239.6470588;226.9411765;167.7222222;3.50860507;6.145251397;0.000529479;0.471915791
69;20048709;12.28751346;263.5588235;;;;;;;;;
83;20050065;19.4109141;267.2230769;268.3076923;210.4615385;219.4615385;209.4166667;143.0769231;6.406749253;9.186147653;0.008371704;0.623003053
84;20049563;46.02706027;230.9473684;276.5;232.1666667;210.6666667;179.8;67.42857143;5.223103619;9.653614853;0.051919494;1.882157561
85;20049580;13.10353363;254.3768116;276.7142857;239.4285714;227.0;244.0;170.7142857;6.306508345;4.102389347;-0.0150015;0.57885116
86;20049579;7.308572434;274.2604167;277.6;251.6666667;248.3333333;235.0;128.2857143;4.049431119;5.393771833;0.005186005;1.124956415
87;20050064;56.8928939;263.1025641;273.8;186.3333333;199.4;176.75;47.625;29.27642052;14.36051954;0.017163257;2.663541445
88;20049720;28.95556838;238.6046512;262.375;233.5;237.875;228.7142857;117.7777778;7.654670567;7.11584421;0.008754395;0.518871611
90;20050067;16.60570593;263.0769231;232.5;259.6666667;241.0;241.3333333;125.6666667;4.708601141;4.255905512;0.0;0.330454706
89;20050155;33.94110453;265.9621212;275.2857143;225.8571429;221.1666667;222.2;62.6;9.206234143;8.599548569;0.046310232;2.106880567
91;20050158;25.74353767;265.9393939;279.0;268.8;269.8;265.6;188.4;2.47594839;1.120152868;0.0;3.621716646
92;20050156;0.0;265.9393939;276.4444444;256.8;258.7;252.9;36.74;3.223521394;2.221467103;-0.008599561;2.365311119
93;20050288;22.73560958;274.2604167;280.25;263.0;269.5;264.0;186.25;4.501518917;1.853550728;0.0;3.165514261
94;20050188;33.41171681;250.9603175;283.4285714;225.2;227.4;211.4666667;111.25;4.194431308;7.476062262;0.017583809;1.820689655
95;20050166;10.60569652;257.0813008;282.0;232.25;236.625;231.125;141.625;6.645780905;6.386167433;0.002638871;4.674523008
97;20050289;31.48132097;263.5;282.6666667;227.25;230.0;217.75;133.5;6.405259949;6.352117372;0.005787874;5.387931034
96;20050448;11.25862479;263.1252205;281.64;260.4;265.0;256.6086957;37.37037037;5.634603926;2.986821758;0.001273216;1.341033003
98;20050345;27.49495441;260.6747967;277.9285714;238.4615385;244.7692308;237.75;147.8;6.12440411;3.710907163;0.012820056;0.5357343
99;20050066;20.31340288;263.8888889;281.2;241.0;243.0;233.5833333;169.4615385;4.374763311;4.589448686;0.013051044;0.599504169
100;20050673;0.0;31.12121212;;237.0;252.0;235.0;54.0;;9.187279152;-0.253538982;19.81669557
101;20050113;19.23008797;263.0769231;285.3157895;254.2564103;256.2051282;245.8205128;209.1794872;8.848971468;3.859782526;-0.002770966;0.218561887
102;20050387;19.49475598;264.7774194;286.4545455;249.8695652;251.7826087;250.0;181.4782609;11.65261275;3.502853698;0.0;0.416449766
103;20050429;31.66039453;270.004386;279.25;205.0;221.0;207.25;136.875;10.11316095;8.892653784;0.0;0.241424862
104;20050719;24.24876332;285.0;284.0;232.3333333;249.3333333;251.3333333;162.3333333;2.525743939;-5.340706516;0.0;0.771112168
105;20050720;48.74663211;250.4666667;285.0;192.8;216.0;204.6666667;57.0;13.08933002;12.28180241;0.008404421;5.071388837
108;20050721;20.44;110.5;283.3333333;231.75;205.0;192.3333333;40.0;10.11393164;12.72224417;0.01885488;7.044979484
106;20050114;0.0;7.015873016;285.5;250.0;218.0;195.0;16.0;43.54664749;7.894736842;0.0;29.39449541
107;20050430;26.18458944;255.9632768;283.4;233.1818182;238.5;223.8571429;140.3913043;8.152852733;7.247163252;0.015485944;1.880598225
