production_order_id;material_id;tube_line_id;posting_date;body_quantity;prod_quantity;scrap_quantity;prod_h
20042506;271626;0;03.01.2023 00:00;112064;91056;21008;6.2
20042507;271703;0;03.01.2023 00:00;302022;274926;27096;16.9
20042646;278885;0;04.01.2023 00:00;82727;30781;51946;1.9
20042647;278888;0;05.01.2023 00:00;119628;92343;27285;7.2
20042645;269751;0;05.01.2023 00:00;88688;61563;27125;3.8
20042644;269748;0;05.01.2023 00:00;38706;30780;7926;1.9
20042726;;0;05.01.2023 00:00;0;0;0;0.0
20042729;278891;0;06.01.2023 00:00;51894;25654;26240;2.2
20042728;269750;0;06.01.2023 00:00;160247;102602;57645;7.3
20042727;281496;0;07.01.2023 00:00;177492;140418;37074;9.6
20043082;266175;0;16.01.2023 00:00;296131;253136;42995;15.6
20043440;279122;0;16.01.2023 00:00;113084;76953;36131;5.3
20043088;;0;17.01.2023 00:00;0;0;0;0.0
20043439;269639;0;17.01.2023 00:00;96793;50392;46401;3.5
20043438;269633;0;18.01.2023 00:00;52950;50388;2562;3.5
20043436;268888;0;18.01.2023 00:00;125041;100778;24263;6.9
20043437;269632;0;18.01.2023 00:00;180601;150280;30321;9.2
20043441;279123;0;19.01.2023 00:00;388860;307808;81052;20.6
20043442;279124;0;20.01.2023 00:00;55769;30780;24989;2.0
20043578;279939;0;20.01.2023 00:00;387247;318245;69002;20.1
20043636;282813;0;23.01.2023 00:00;860139;667426;192713;44.9
20043793;263731;0;26.01.2023 00:00;962317;782050;180267;48.9
20043883;274674;0;31.01.2023 00:00;193825;100780;93045;8.8
20043884;274676;0;01.02.2023 00:00;134013;110503;23510;7.6
20044315;274679;0;01.02.2023 00:00;319302;250174;69128;17.6
20044023;274677;0;02.02.2023 00:00;349263;300564;48699;20.1
20044312;282982;0;03.02.2023 00:00;1768;1768;0;2.8
20044313;282980;0;04.02.2023 00:00;1768;1768;0;0.9
20044314;282985;0;04.02.2023 00:00;0;1768;-1768;1.5
20044632;269752;0;04.02.2023 00:00;607550;492486;115064;31.5
20044741;282895;0;16.02.2023 00:00;884;884;0;5.2
20044905;283194;0;16.02.2023 00:00;33574;19449;14125;1.3
20044447;282894;0;16.02.2023 00:00;884;884;0;3.0
20044904;271624;0;17.02.2023 00:00;464689;365095;99594;23.9
20044908;271266;0;02.03.2023 00:00;158816;73474;85342;7.7
20044906;265341;0;03.03.2023 00:00;155057;110785;44272;7.2
20044907;265342;0;03.03.2023 00:00;308638;257152;51486;17.2
20045857;265342;0;07.03.2023 00:00;300407;257726;42681;18.2
20045861;265342;0;08.03.2023 00:00;279366;257161;22205;16.3
20046000;269754;0;09.03.2023 00:00;35941;20524;15417;1.7
20046003;269753;0;09.03.2023 00:00;181608;128763;52845;8.9
20046002;279122;0;10.03.2023 00:00;60652;51302;9350;3.7
20046001;269755;0;10.03.2023 00:00;73153;61560;11593;3.8
20046069;272360;0;10.03.2023 00:00;9133;3327;5806;0.3
20046070;272361;0;10.03.2023 00:00;11802;3327;8475;0.3
20046487;280917;0;10.03.2023 00:00;58212;26882;31330;1.5
20046074;274789;0;12.03.2023 00:00;1414159;1290257;123902;80.0
20046180;;0;17.03.2023 00:00;0;0;0;0.0
20046071;283182;0;17.03.2023 00:00;7000;2652;4348;0.5
20046489;283468;0;17.03.2023 00:00;884;884;0;7.0
20046488;282947;0;17.03.2023 00:00;25636;25636;0;9.2
20047392;279123;0;18.03.2023 00:00;400774;338582;62192;22.0
20047065;269751;0;19.03.2023 00:00;78413;61560;16853;4.1
20047189;269748;0;19.03.2023 00:00;40000;30780;9220;2.2
20047225;271703;0;03.04.2023 00:00;329343;270509;58834;19.2
20047226;283803;0;03.04.2023 00:00;886;886;0;0.1
20047473;271701;0;05.04.2023 00:00;313638;270506;43132;17.6
20047472;271698;0;06.04.2023 00:00;122524;92820;29704;5.7
20047895;277543;0;06.04.2023 00:00;63500;25636;37864;2.5
20047232;;0;11.04.2023 00:00;0;0;0;0.0
20047891;280444;0;11.04.2023 00:00;133424;110213;23211;7.7
20048188;265342;0;12.04.2023 00:00;280471;257157;23314;16.1
20048136;268647;0;12.04.2023 00:00;42000;36736;5264;2.8
20048264;265341;0;13.04.2023 00:00;125462;110210;15252;6.7
20048263;265341;0;13.04.2023 00:00;120078;110215;9863;7.0
20047892;283805;0;13.04.2023 00:00;475;475;0;1.9
20048262;;0;14.04.2023 00:00;0;0;0;0.0
20048397;269752;0;14.04.2023 00:00;1369120;1077313;291807;71.9
20049028;283046;0;20.04.2023 00:00;4420;4420;0;0.3
20049027;283972;0;20.04.2023 00:00;3536;3536;0;2.0
20048774;283638;0;21.04.2023 00:00;2654;2654;0;8.5
20048654;280200;0;21.04.2023 00:00;37858;11492;26366;0.8
20048703;;0;21.04.2023 00:00;0;0;0;0.0
20048708;275684;0;21.04.2023 00:00;50593;26880;23713;1.8
20048704;271283;0;22.04.2023 00:00;34862;26880;7982;1.8
20048709;230137;0;22.04.2023 00:00;30649;26883;3766;1.7
20048981;263774;0;02.05.2023 00:00;183722;161280;22442;10.4
20048706;271285;0;02.05.2023 00:00;76240;53764;22476;3.7
20048707;272318;0;02.05.2023 00:00;68532;53762;14770;3.6
20048705;271284;0;03.05.2023 00:00;27160;26880;280;1.7
20048710;272320;0;03.05.2023 00:00;57241;53762;3479;3.4
20049090;271400;0;03.05.2023 00:00;55000;36288;18712;2.4
20049282;282978;0;03.05.2023 00:00;55277;41331;13946;2.7
20049278;271399;0;03.05.2023 00:00;84220;72576;11644;4.7
20049303;257703;0;04.05.2023 00:00;177966;152210;25756;9.6
20049304;281590;0;04.05.2023 00:00;301058;282242;18816;17.7
20049470;241454;0;05.05.2023 00:00;167890;144806;23084;9.0
20049471;244458;0;06.05.2023 00:00;269789;245730;24059;15.6
20049562;252902;0;08.05.2023 00:00;213017;175520;37497;11.4
20050065;234097;0;09.05.2023 00:00;129319;104217;25102;6.5
20049563;257817;0;10.05.2023 00:00;48780;26328;22452;1.9
20049580;235285;0;10.05.2023 00:00;80795;70208;10587;4.6
20049579;234096;0;10.05.2023 00:00;56810;52658;4152;3.2
20050064;269754;0;11.05.2023 00:00;47607;20522;27085;1.3
20049720;269755;0;12.05.2023 00:00;86650;61560;25090;4.3
20050155;282015;0;12.05.2023 00:00;53145;35107;18038;2.2
20050067;278892;0;12.05.2023 00:00;24606;20520;4086;1.3
20050158;284015;0;12.05.2023 00:00;70911;52656;18255;3.3
20050156;282023;0;13.05.2023 00:00;69900;105312;-35412;6.6
20050288;284019;0;15.05.2023 00:00;68153;52658;15495;3.2
20050188;284097;0;15.05.2023 00:00;142462;94863;47599;6.3
20050166;284012;0;16.05.2023 00:00;70745;63242;7503;4.1
20050448;284047;0;16.05.2023 00:00;336240;298384;37856;18.9
20050289;284095;0;16.05.2023 00:00;46148;31620;14528;2.0
20050345;269753;0;22.05.2023 00:00;176887;128252;48635;8.2
20050066;269750;0;22.05.2023 00:00;160943;128250;32693;8.1
20050673;284306;0;23.05.2023 00:00;2054;2054;0;1.1
20050108;;0;23.05.2023 00:00;0;0;0;0.0
20050113;269749;0;23.05.2023 00:00;609732;492480;117252;31.2
20050387;279248;0;25.05.2023 00:00;305872;246243;59629;15.5
20050429;269748;0;26.05.2023 00:00;90081;61561;28520;3.8
20050719;269748;0;26.05.2023 00:00;40633;30780;9853;1.8
20050720;272357;0;27.05.2023 00:00;29321;15028;14293;1.0
20050114;284092;0;05.06.2023 00:00;884;884;0;2.1
20050430;271700;0;05.06.2023 00:00;245507;181222;64285;11.8
20050721;272358;0;05.06.2023 00:00;10000;7956;2044;1.2
20050722;283898;0;06.06.2023 00:00;428570;362442;66128;22.7
20050718;230491;0;07.06.2023 00:00;36714;15029;21685;1.0
20050723;284094;0;07.06.2023 00:00;59113;35107;24006;2.2
20050717;;0;07.06.2023 00:00;0;0;0;0.0
20051366;284276;0;08.06.2023 00:00;4592;4592;0;4.0
20051030;269750;0;08.06.2023 00:00;113071;76952;36119;5.4
20050828;272359;0;08.06.2023 00:00;5225;5225;0;5.2
20051657;;0;14.06.2023 00:00;0;0;0;0.0
20051659;283898;0;14.06.2023 00:00;338787;269620;69167;17.8
20051658;271626;0;16.06.2023 00:00;109311;92820;16491;6.5
20051796;284371;0;16.06.2023 00:00;101662;60112;41550;4.1
20051795;284370;0;22.06.2023 00:00;222954;150280;72674;11.6
20051794;284369;0;22.06.2023 00:00;184607;150284;34323;10.2
20052285;284603;0;23.06.2023 00:00;45754;33592;12162;2.1
20051793;284299;0;25.06.2023 00:00;142483;84866;57617;5.3
20052396;271699;0;08.07.2023 00:00;134659;90173;44486;5.7
20052395;271698;0;10.07.2023 00:00;208612;180336;28276;11.2
20052397;271703;0;11.07.2023 00:00;293751;270506;23245;16.9
20052233;269749;0;11.07.2023 00:00;580975;492482;88493;30.6
20052564;269752;0;13.07.2023 00:00;668136;584822;83314;35.8
20052912;269751;0;17.07.2023 00:00;129818;92340;37478;5.7
20052911;269748;0;17.07.2023 00:00;36800;30780;6020;1.9
20053320;284460;0;17.07.2023 00:00;54874;32709;22165;2.0
20052795;;0;18.07.2023 00:00;0;0;0;0.0
20052917;269755;0;18.07.2023 00:00;60646;41041;19605;2.5
20053321;284462;0;18.07.2023 00:00;38711;30719;7992;2.0
20052914;281892;0;18.07.2023 00:00;2196;2196;0;1.4
20053040;266577;0;18.07.2023 00:00;59960;36736;23224;2.5
20053039;265341;0;19.07.2023 00:00;135942;110210;25732;6.8
20053060;265342;0;19.07.2023 00:00;309220;257152;52068;16.6
20053295;265342;0;20.07.2023 00:00;321576;257152;64424;16.8
20053414;283329;0;21.07.2023 00:00;181948;146944;35004;9.4
20053417;282811;0;09.08.2023 00:00;176457;146946;29511;9.1
20054216;268647;0;10.08.2023 00:00;52865;36739;16126;2.4
20054215;266577;0;10.08.2023 00:00;41002;36738;4264;2.5
20054214;265341;0;10.08.2023 00:00;119890;110210;9680;7.0
20053613;268970;0;10.08.2023 00:00;74070;60273;13797;3.8
20053615;276274;0;19.08.2023 00:00;43071;40182;2889;2.5
20054229;266442;0;19.08.2023 00:00;82832;60270;22562;4.2
20054228;266441;0;21.08.2023 00:00;72391;60272;12119;3.8
20053616;278892;0;21.08.2023 00:00;60733;30780;29953;2.9
20053614;269754;0;22.08.2023 00:00;33619;30780;2839;2.4
20053426;;0;23.08.2023 00:00;0;0;0;0.0
20054921;285079;0;23.08.2023 00:00;3;3;0;1.5
20054108;284846;0;23.08.2023 00:00;164080;106080;58000;7.3
20054389;268971;0;24.08.2023 00:00;308888;250172;58716;15.4
20054390;268974;0;01.09.2023 00:00;66741;50388;16353;3.2
20054844;271628;0;01.09.2023 00:00;125100;92820;32280;6.0
20054391;284851;0;02.09.2023 00:00;12538;3539;8999;3.8
20054843;269748;0;04.09.2023 00:00;64341;30783;33558;2.0
20054845;279123;0;04.09.2023 00:00;468470;307800;160670;19.7
20054960;;0;06.09.2023 00:00;0;0;0;0.0
20055015;279249;0;06.09.2023 00:00;154100;102604;51496;7.6
20055016;269750;0;12.09.2023 00:00;168780;123120;45660;8.4
20055017;269753;0;19.09.2023 00:00;149417;127739;21678;8.8
20055018;269755;0;20.09.2023 00:00;51059;41041;10018;2.8
20055268;284462;0;20.09.2023 00:00;19813;10970;8843;0.7
20055295;284460;0;20.09.2023 00:00;179995;130834;49161;9.5
20055019;;0;20.09.2023 00:00;0;0;0;0.0
20054846;279248;0;21.09.2023 00:00;608622;492482;116140;31.4
